Dates,Links
Daily Price Report - 07 March 2024,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20240307_e.pdf
Daily Price Report - 06 March 2024,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20240306_e.pdf
Daily Price Report - 05 March 2024,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20240305.pdf
Daily Price Report - 04 March 2024,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20240304_e.pdf
Daily Price Report - 01 March 2024,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20240301_e.pdf
Daily Price Report - 29 February 2024,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20240229_e.pdf
Daily Price Report - 28 February 2024,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20240228_e.pdf
Daily Price Report - 27 February 2024,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20240227_e.pdf
Daily Price Report - 26 February 2024,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20240226_e.pdf
Daily Price Report - 22 February 2024,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20240222_e.pdf
Daily Price Report - 21 February 2024,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20240221.pdf
Daily Price Report - 20 February 2024,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20240220_e.pdf
Daily Price Report - 19 February 2024,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20240219_e.pdf
Daily Price Report - 16 February 2024,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20240216.pdf
Daily Price Report - 15 February 2024,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20240215_e.pdf
Daily Price Report - 14 February 2024,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20240214_e.pdf
Daily Price Report - 13 February 2024,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20240213_e.pdf
Daily Price Report - 12 February 2024,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20240212_e.pdf
Daily Price Report - 09 February 2024,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20240209_e.pdf
Daily Price Report - 08 February 2024,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20240208.pdf
Daily Price Report - 07 February 2024,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20240207.pdf
Daily Price Report - 06 February 2024,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20240206.pdf
Daily Price Report - 05 February 2024,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20240205_e.pdf
Daily Price Report - 02 February 2024,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20240202_e.pdf
Daily Price Report - 01 February 2024,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20240201_e.pdf
Daily Price Report - 31 January 2024,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20240131.pdf
Daily Price Report - 30 January 2024,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20240130.pdf
Daily Price Report - 29 January 2024,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20240129_e.pdf
Daily Price Report - 26 January 2024,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20240126.pdf
Daily Price Report - 24 January 2024,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20240124_e.pdf
Daily Price Report - 23 January 2024,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20240123_e.pdf
Daily Price Report - 22 January 2024,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20240122_e.pdf
Daily Price Report - 19 January 2024,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20240119_e.pdf
Daily Price Report - 18 January 2024,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20240118.pdf
Daily Price Report - 17 January 2024,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20240117_e.pdf
Daily Price Report - 16 January 2024,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20240116_e.pdf
Daily Price Report - 12 January 2024,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20240112_e.pdf
Daily Price Report - 11 January 2024,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20240111_e.pdf
Daily Price Report - 10 January 2024,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20240110_e.pdf
Daily Price Report - 09 January 2024,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20240109.pdf
Daily Price Report - 08 January 2024,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20240108_e.pdf
Daily Price Report - 05 January 2024,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20240105_e.pdf
Daily Price Report - 04 January 2024,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20240104_e.pdf
Daily Price Report - 03 January 2024,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20240103_e.pdf
Daily Price Report - 02 January 2024,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20240102_e.pdf
Daily Price Report - 01 January 2024,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/Daily%20Price%20Report%2001.01.2024.pdf
Daily Price Report - 29 December 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20231229_e.pdf
Daily Price Report - 28 December 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20231228_e.pdf
Daily Price Report - 27 December 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20231227_e.pdf
Daily Price Report - 22 December 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20231222_e.pdf
Daily Price Report - 21 December 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20231221.pdf
Daily Price Report - 20 December 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20231220_e.pdf
Daily Price Report - 19 December 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20231219_e.pdf
Daily Price Report - 18 December 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20231218_e.pdf
Daily Price Report - 15 December 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20231215_e.pdf
Daily Price Report - 14 December 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20231214_e.pdf
Daily Price Report - 13 December 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20231213_e.pdf
Daily Price Report - 12 December 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20231212_e.pdf
Daily Price Report - 11 December 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20231211_e.pdf
Daily Price Report - 08 December 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20231208.pdf
Daily Price Report - 07 December 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20231207_e.pdf
Daily Price Report - 06 December 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20231206_e.pdf
Daily Price Report - 05 December 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20231205.pdf
Daily Price Report - 04 December 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20231204_e.pdf
Daily Price Report - 01 December 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20231201_e.pdf
Daily Price Report - 30 November 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20231130.pdf
Daily Price Report - 29 November 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20231129_e.pdf
Daily Price Report - 28 November 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20231128_e.pdf
Daily Price Report - 27 November 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20231127_e.pdf
Daily Price Report - 24 November 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20231124_e.pdf
Daily Price Report - 23 November 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20231123_e.pdf
Daily Price Report - 22 November 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20231122.pdf
Daily Price Report - 21 November 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20231121.pdf
Daily Price Report - 20 November 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20231120.pdf
Daily Price Report - 17 November 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20231117_e.pdf
Daily Price Report - 16 November 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20231116_e.pdf
Daily Price Report - 15 November 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20231115.pdf
Daily Price Report - 14 November 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20231114.pdf
Daily Price Report - 13 November 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20231113.pdf
Daily Price Report - 10 November 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20231110_e.pdf
Daily Price Report - 09 November 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20231109_e.pdf
Daily Price Report - 08 November 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20231108_e.pdf
Daily Price Report - 07 November 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20231107_e.pdf
Daily Price Report - 06 November 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20231106_e.pdf
Daily Price Report - 03 November 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20231103_e.pdf
Daily Price Report - 02 November 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20231102_e.pdf
Daily Price Report - 01 November 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20231101_e.pdf
Daily Price Report - 31 October 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20231031e.pdf
Daily Price Report - 30 October 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20231030e.pdf
Daily Price Report - 27 October 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20231027_e.pdf
Daily Price Report - 26 October 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20231026_e.pdf
Daily Price Report - 25 October 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20231025e.pdf
Daily Price Report - 24 October 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20231024_e.pdf
Daily Price Report - 23 October 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20231023e.pdf
Daily Price Report - 20 October 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20231020_e.pdf
Daily Price Report - 19 October 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20231019_e.pdf
Daily Price Report - 18 October 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20231018.pdf
Daily Price Report - 17 October 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20231017.pdf
Daily Price Report - 16 October 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20231016_e.pdf
Daily Price Report - 13 October 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20231013.pdf
Daily Price Report - 12 October 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20231012.pdf
Daily Price Report - 11 October 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20231011_e.pdf
Daily Price Report - 10 October 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20231010_e.pdf
Daily Price Report - 09 October 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20231009_e.pdf
Daily Price Report - 06 October 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20231006_e.pdf
Daily Price Report - 05 October 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20231005.pdf
Daily Price Report - 04 October 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20231004_e.pdf
Daily Price Report - 03 October 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20231003e.pdf
Daily Price Report - 02 October 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20231002e.pdf
Daily Price Report - 27 September 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230927_e.pdf
Daily Price Report - 26 September 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230926.pdf
Daily Price Report - 25 September 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230925_e.pdf
Daily Price Report - 22 September 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230922_e.pdf
Daily Price Report - 21 September 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230921.pdf
Daily Price Report - 20 September 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230920.pdf
Daily Price Report - 19 September 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230919e.pdf
Daily Price Report - 18 September 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230918_e_0.pdf
Daily Price Report - 15 September 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230915_e.pdf
Daily Price Report - 14 September 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230914_e.pdf
Daily Price Report - 13 September 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230913_e.pdf
Daily Price Report - 12 September 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230912_e.pdf
Daily Price Report - 11 September 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230911_e.pdf
Daily Price Report - 08 September 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230908.pdf
Daily Price Report - 07 September 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230907.pdf
Daily Price Report - 06 September 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230906_e.pdf
Daily Price Report - 05 September 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230905_e.pdf
Daily Price Report - 04 September 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230904_e.pdf
Daily Price Report - 01 September 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230901_e.pdf
Daily Price Report - 31 August 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230831_e.pdf
Daily Price Report - 29 August 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230829_e.pdf
Daily Price Report - 28 August 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230828.pdf
Daily Price Report - 25 August 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230825_e.pdf
Daily Price Report - 24 August 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20200824e_0.pdf
Daily Price Report - 23 August 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230823_e.pdf
Daily Price Report - 22 August 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230822_e.pdf
Daily Price Report - 21 August 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230821e.pdf
Daily Price Report - 18 August 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230818_e.pdf
Daily Price Report - 17 August 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230817_e.pdf
Daily Price Report - 16 August 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230816e.pdf
Daily Price Report - 15 August 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230815_e.pdf
Daily Price Report - 14 August 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230814_e.pdf
Daily Price Report - 11 August 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230811.pdf
Daily Price Report - 10 August 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230810.pdf
Daily Price Report - 09 August 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230809.pdf
Daily Price Report - 08 August 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230808.pdf
Daily Price Report - 07 August 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230807_e.pdf
Daily Price Report - 04 August 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230804.pdf
Daily Price Report - 03 August 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230803_e.pdf
Daily Price Report - 02 August 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230802_e.pdf
Daily Price Report - 31 July 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230731.pdf
Daily Price Report - 28 July 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230728e.pdf
Daily Price Report - 27 July 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230727_e.pdf
Daily Price Report - 26 July 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230726_e.pdf
Daily Price Report - 25 July 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230725.pdf
Daily Price Report - 24 July 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230724_e.pdf
Daily Price Report - 21 July 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230721_e.pdf
Daily Price Report - 20 July 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230720.pdf
Daily Price Report - 19 July 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230719_e.pdf
Daily Price Report - 18 July 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230718_e.pdf
Daily Price Report - 17 July 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230717_e.pdf
Daily Price Report - 14 July 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230714_e.pdf
Daily Price Report - 13 July 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230713_e.pdf
Daily Price Report - 12 July 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230712_e.pdf
Daily Price Report - 11 July 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230711_e.pdf
Daily Price Report - 10 July 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230710.pdf
Daily Price Report - 07 July 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230707_e.pdf
Daily Price Report - 06 July 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230706_e.pdf
Daily Price Report - 05 July 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230705_e.pdf
Daily Price Report - 04 July 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230704.pdf
Daily Price Report - 28 June 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230628_e.pdf
Daily Price Report - 27 June 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230627_e.pdf
Daily Price Report - 26 June 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230626.pdf
Daily Price Report - 23 June 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230623.pdf
Daily Price Report - 22 June 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230622.pdf
Daily Price Report - 21 June 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230621_e.pdf
Daily Price Report - 20 June 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230620_e.pdf
Daily Price Report - 19 June 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230619_e.pdf
Daily Price Report - 16 June 2023,https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/pricerpt/price_report_20230616_e.pdf
